Topic,Count,Name
-1,1142,games_to_what_how
0,123,itchio_itch_on_thank
1,115,notgdc_notatgdc_but_gdc
2,91,find_help_remember_played
3,73,itchio_itch_on_games
4,67,youtube_channel_youtubers_youtuber
5,59,developer_dev_devs_journey
6,57,indie_marketing_devs_calling
7,57,favorite_recommend_games_any
8,52,nsfw_adult_content_porn
9,50,jam_jams_join_game
10,45,promote_market_promoting_how
11,42,bundle_coop_ultimate_bundles
12,37,mac_error_not_cant
13,36,browser_html5_html_pages
14,36,hello_hi_hey_everyone
15,35,your_first_my_play
16,34,download_downloads_downloading_views
17,34,ideas_idea_kids_spread
18,34,ai_chat_aigenerated_generation
19,31,horror_looking_some_combat
20,30,make_playing_inspiration_video
21,30,festival_enter_championship_imga
22,29,visual_novel_novels_dating
23,29,publish_steam_publishing_publisher
24,26,music_composer_audio_listening
25,25,sale_music_50_packs
26,23,survey_thesis_questionnaire_interest
27,22,money_make_making_patreon
28,22,de_en_para_el
29,21,twitter_followers_friends_social
30,21,charity_bundle_donations_items
31,20,happy_year_holidays_christmas
32,20,review_feedback_give_will
33,19,question_questions_noob_nice
34,19,buy_sell_selling_decide
35,18,art_creativity_artist_border
36,18,assets_asset_portfolio_pack
37,18,fighting_no_by_aus
38,17,discord_server_join_dev
39,17,pixel_art_animating_diffusion
40,17,looking_id_similar_for
41,17,mobile_android_test_testers
42,16,engine_programming_quote_engines
43,16,racial_justice_bundle_equality
44,16,help_need_needed_stone
45,16,paypal_payout_payment_pay
46,15,spam_email_emails_phishing
47,15,url_change_websites_changed
48,14,fpv_freerider_controller_realflight
49,14,vr_virtual_reality_headset
50,14,update_system_core_battle
51,13,search_indexing_showing_results
52,13,ukraine_solidarity_valencia_bundle
53,12,censorship_against_stop_bansremovals
54,12,unity_which_annoucement_unrealassets
55,12,lgbt_lgbtq_creators_boys
56,12,rant_deep_despair_flame
57,11,korean_translate_japanese_chinese
58,11,demo_analog_cradle_demos
59,10,2d_3d_idea_26800
