Topic,Count,Name
-1,2275,the_is_of_on
0,247,putin_vac_ya_squad
1,107,market_inventory_community_open
2,85,de_el_para_que
3,68,account_hacked_got_ea
4,67,life_you_die_woke
5,60,gift_gifting_region_card
6,60,controller_xbox_controllers_switch
7,60,looking_recommend_game_games
8,57,cs2_cs_cheaters_vac
9,54,idk_go_guh_haha
10,54,library_free_dlc_delete
11,52,banned_ban_moderators_unban
12,50,11_windows_10_civ
13,48,deck_steamdeck_diablo_lossless
14,45,overlay_guide_performance_scale
15,43,help_need_me_title
16,42,auf_ashuvaxpretentieux_iossteam_nba2k26
17,42,music_metal_song_rock
18,41,reviews_review_neutral_filter
19,41,mac_linux_os_windows
20,40,ui_store_old_new
21,40,achievements_achievement_showcase_dlc
22,40,friends_looking_friend_making
23,40,gpu_rtx_upgrade_gtx
24,38,account_email_recovering_address
25,38,eat_hotdog_diet_coke
26,37,verification_age_uk_safety
27,35,mac_macos_silicon_macbook
28,34,collections_dynamic_filter_collection
29,34,cards_trading_buy_card
30,34,profile_emoticons_animated_editing
31,34,mobile_iphone_steamvr_app
32,33,sale_autumn_sales_shop
33,32,artwork_images_guides_upload
34,32,scam_scammer_scamming_scammed
35,31,computer_pc_build_bios
36,31,day_birthday_happy_thanksgiving
37,31,followed_games_where_page
38,30,hola_aea_asdaa_buff
39,30,000000000000000_111_1111_111111111111111
40,29,support_ticket_contact_directly
41,29,wishlist_broken_wish_list
42,29,key_deadlock_product_keys
43,29,screenshots_screenshot_uncompressed_take
44,28,censorship_ban_bans_banned
45,28,family_sharing_join_household
46,28,fps_monitor_graphics_blurry
47,26,hi_hello_guys_helloo
48,26,sex_girlfriend_you_ever
49,25,ea_saudi_arabia_bought
50,25,df_1fsaf_1fdkjfhwej_cvdasxsdvasf
51,25,gaza_israel_palestine_epstein
52,25,payment_paypal_pay_bank
53,24,badge_badges_display_exp
54,24,2025_ago_years_2030
55,24,valve_processor_hardware_support
56,24,friends_activity_nicknames_friend
57,23,authenticator_guard_mobile_phone
58,23,forum_politics_forums_pubg
59,23,thread_goosebumpsbadass_gavin_bites
60,23,login_client_loading_log
61,22,hacked_account_compromised_hacking
62,22,bug_spell_buggy_check
63,22,guard_adguard_dns_firewall
64,22,charlie_kirk_god_king
65,22,arrowdarrowdarrowd_c51_recorder_reforging
66,22,ideas_autism_domina_nepali
67,22,controller_input_xbox_dualshock
68,22,crashing_crash_crashes_bsods
69,21,points_discount_shop_earning
70,21,slow_fixed_extremely_speed
71,21,awards_jester_award_clown
72,21,dutch_gabe_wonder_platform
73,21,poop_toilet_her_dump
74,20,russia_russian_europe_ukraine
75,20,recording_recordings_audio_record
76,20,dog_animals_cats_furry
77,20,download_downloads_stuck_h1
78,20,keyboard_alt_mechanical_m4
79,20,many_requests_too_recently
80,20,notifications_message_notification_messages
81,19,updates_update_disable_updating
82,19,sorting_tags_sort_library
83,19,refund_refunding_refunds_request
84,19,horror_halloween_spooky_month
85,19,nothing_train_comment_ill
86,19,error_newb_troubleshooting_118
87,19,game_baseball_dosnt_caravaners
88,19,trade_funds_longdog_devil
89,19,wishlist_wishlists_customizable_bundles
90,18,cloud_saving_sync_preferences
91,18,strike_counter_conter_hackers
92,18,free_buying_games_already
93,18,correct_auto_left_font
94,17,japanese_people_countries_are
95,17,remote_play_streaming_stream
96,17,dying_light_beast_book
97,16,antifa_leftist_terrorists_trump
98,16,battlefield_duty_bf6_call
99,16,en_de_el_un
100,16,install_application_opened_error
101,16,time_playtime_track_hours
102,16,pending_funds_transaction_confirrmation
103,16,friends_friend_train_steamfriend
104,16,save_backup_files_storage
105,15,new_retrowave_considered_edm
106,15,video_youtube_boring_funny
107,15,qwe_tqetqet_oooofffff_hh
108,15,gen_kz_contradictory_dr
109,15,riddle_long_hair_riddle2
110,15,movies_movie_spoilers_terminator
111,15,trump_trumps_claims_averted
112,15,internet_abrego_court_depose
113,14,stay_video_gamefaqs_gamesh1
114,14,bir_leminiz_oyun_ne
115,14,speed_download_speeds_slow
116,14,trans_gay_woman_transgender
117,14,question_true_noting_test
118,14,chat_chats_chatgpt_message
119,13,failed_themselves_start_close
120,13,credit_card_visa_defaulting
121,13,sound_microphone_due_audio
122,13,dota_bye_cya_feeder
123,13,ice_officers_agents_london
124,13,picture_big_mode_fullscreen
125,13,gamer_gamers_casual_digs
126,13,anubis_ayudaaa_ayoooo_brawhalla
127,13,ai_bullets_bend_economy
128,12,welcome_thank_punisher_bringing
129,12,bots_corporate_bot_society
130,12,rep_rep4rep_fo_ez
131,12,rust_rustled_atom_einstein
132,12,new_clicks_elite_tips
133,12,temps_cpu_thermal_cooling
134,12,confirm_purchases_purchase_app
135,11,steamwebhelper_responding_component_steamwebhelperexe
136,11,play_wants_looking_with
137,11,puzzle_best_addict_765
138,11,level_levels_liftoff_sstem
139,11,26_fc_ultimate_aka
140,11,america_troops_spending_state
141,10,asds_aoc_adsd_bully
142,10,language_english_arabic_blockhide
143,10,refunded_refund_less_than
144,10,price_set_cart_prices
145,10,requests_friend_accept_random
